reading from file attack.pcap, link-type EN10MB (Ethernet)
09:40:36.411832 IP 164.124.33.78.35165 > 192.168.0.1.http: Flags [S], seq 25407, win 16384, length 0
09:40:36.411833 IP 38.198.26.9.14378 > 192.168.0.1.http: Flags [S], seq 25694, win 16384, length 0
09:40:36.411835 IP 132.212.36.201.31944 > 192.168.0.1.http: Flags [S], seq 18074, win 16384, length 0
09:40:36.411837 IP adsl-76-196-6-157.dsl.rcsntx.sbcglobal.net.10404 > 192.168.0.1.http: Flags [R], seq 22719, win 0, length 0
09:40:36.411889 IP 189-109-37-180.customer.tdatabrasil.net.br.36076 > 192.168.0.1.http: Flags [S], seq 26103, win 16384, length 0
09:40:36.411891 IP 189-109-37-188.customer.tdatabrasil.net.br.36084 > 192.168.0.1.http: Flags [S], seq 26111, win 16384, length 0
09:40:36.411892 IP 76.196.12.251.12034 > 192.168.0.1.http: Flags [S], seq 24348, win 16384, length 0
09:40:36.411894 IP 132.212.36.146.31889 > 192.168.0.1.http: Flags [S], seq 18019, win 16384, length 0
09:40:36.411896 IP 189-109-30-67.customer.tdatabrasil.net.br.34171 > 192.168.0.1.http: Flags [R], seq 24199, win 0, length 0
09:40:36.411897 IP 189-109-37-184.customer.tdatabrasil.net.br.36080 > 192.168.0.1.http: Flags [S], seq 26107, win 16384, length 0
09:40:36.411899 IP 164.124.33.164.35251 > 192.168.0.1.http: Flags [S], seq 25493, win 16384, length 0
09:40:36.411901 IP 189-109-37-88.customer.tdatabrasil.net.br.35984 > 192.168.0.1.http: Flags [S], seq 26011, win 16384, length 0
09:40:36.412014 IP 76.196.12.188.11971 > 192.168.0.1.http: Flags [S], seq 24285, win 16384, length 0
09:40:36.412016 IP 132.212.36.112.31855 > 192.168.0.1.http: Flags [S], seq 17985, win 16384, length 0
09:40:36.412018 IP 164.124.33.95.35182 > 192.168.0.1.http: Flags [S], seq 25424, win 16384, length 0
09:40:36.412020 IP 76.196.12.250.12033 > 192.168.0.1.http: Flags [S], seq 24347, win 16384, length 0
09:40:36.412021 IP 164.124.33.94.35181 > 192.168.0.1.http: Flags [S], seq 25423, win 16384, length 0
09:40:36.412023 IP 164.124.33.160.35247 > 192.168.0.1.http: Flags [S], seq 25489, win 16384, length 0
09:40:36.412025 IP 38.198.26.94.14463 > 192.168.0.1.http: Flags [S], seq 25779, win 16384, length 0
09:40:36.412027 IP spp-aleblond2.uqac.ca.31962 > 192.168.0.1.http: Flags [S], seq 18092, win 16384, length 0
09:40:36.412298 IP 164.124.33.172.35259 > 192.168.0.1.http: Flags [S], seq 25501, win 16384, length 0
09:40:36.412300 IP 164.124.33.90.35177 > 192.168.0.1.http: Flags [S], seq 25419, win 16384, length 0
09:40:36.412302 IP 132.212.36.218.31961 > 192.168.0.1.http: Flags [S], seq 18091, win 16384, length 0
09:40:36.412303 IP 164.124.33.70.35157 > 192.168.0.1.http: Flags [S], seq 25399, win 16384, length 0
09:40:36.412305 IP 76.196.12.237.12020 > 192.168.0.1.http: Flags [S], seq 24334, win 16384, length 0
09:40:36.412307 IP 164.124.33.73.35160 > 192.168.0.1.http: Flags [S], seq 25402, win 16384, length 0
09:40:36.412308 IP 189-109-37-206.customer.tdatabrasil.net.br.36102 > 192.168.0.1.http: Flags [S], seq 26129, win 16384, length 0
09:40:36.412310 IP 164.124.33.71.35158 > 192.168.0.1.http: Flags [S], seq 25400, win 16384, length 0
09:40:36.412312 IP 61.141.8.140.10644 > 192.168.0.1.http: Flags [S], seq 22703, win 16384, length 0
09:40:36.412314 IP 164.124.33.100.35187 > 192.168.0.1.http: Flags [S], seq 25429, win 16384, length 0
09:40:36.412315 IP 38.198.26.40.14409 > 192.168.0.1.http: Flags [S], seq 25725, win 16384, length 0
09:40:36.412465 IP 76.196.13.19.12058 > 192.168.0.1.http: Flags [S], seq 24372, win 16384, length 0
09:40:36.412467 IP 76.196.13.18.12057 > 192.168.0.1.http: Flags [S], seq 24371, win 16384, length 0
09:40:36.412469 IP 189-109-37-202.customer.tdatabrasil.net.br.36098 > 192.168.0.1.http: Flags [S], seq 26125, win 16384, length 0
09:40:36.412470 IP 164.124.33.97.35184 > 192.168.0.1.http: Flags [S], seq 25426, win 16384, length 0
09:40:36.412472 IP 38.198.26.10.14379 > 192.168.0.1.http: Flags [S], seq 25695, win 16384, length 0
09:40:36.412474 IP 38.198.26.30.14399 > 192.168.0.1.http: Flags [S], seq 25715, win 16384, length 0
09:40:36.412681 IP 38.198.26.41.14410 > 192.168.0.1.http: Flags [S], seq 25726, win 16384, length 0
09:40:36.412682 IP 38.198.26.39.14408 > 192.168.0.1.http: Flags [S], seq 25724, win 16384, length 0
09:40:36.412684 IP 189-109-37-105.customer.tdatabrasil.net.br.36001 > 192.168.0.1.http: Flags [S], seq 26028, win 16384, length 0
